settlement,rrp,demand
2026-09-13 04:05:00,-8.00992,4239.13
2026-09-13 04:10:00,-6.62834,4212.07
2026-09-13 04:15:00,-5.0,4331.9
2026-09-13 04:20:00,-6.73659,4234.48
2026-09-13 04:25:00,-7.53843,4160.16
2026-09-13 04:30:00,-8.00992,4219.17
2026-09-13 04:35:00,-7.97966,4239.2
2026-09-13 04:40:00,-8.00992,4277.73
2026-09-13 04:45:00,-8.00992,4202.1
2026-09-13 04:50:00,-8.00992,4220.17
2026-09-13 04:55:00,-6.5,4339.76
2026-09-13 05:00:00,-8.00992,4227.73
2026-09-13 05:05:00,-7.87082,4170.6
2026-09-13 05:10:00,-8.00992,4209.24
2026-09-13 05:15:00,-5.0,4313.52
2026-09-13 05:20:00,-5.0,4305.18
2026-09-13 05:25:00,-5.0,4236.84
2026-09-13 05:30:00,-5.0,4282.81
2026-09-13 05:35:00,-5.0,4307.0
2026-09-13 05:40:00,-8.00992,4257.89
2026-09-13 05:45:00,-6.64564,4267.5
2026-09-13 05:50:00,-6.75838,4274.59
2026-09-13 05:55:00,-5.0,4393.11
2026-09-13 06:00:00,-5.0,4376.42
2026-09-13 06:05:00,-5.0,4356.24
2026-09-13 06:10:00,-5.0,4410.32
2026-09-13 06:15:00,-5.0,4441.3
2026-09-13 06:20:00,-5.0,4421.41
2026-09-13 06:25:00,-5.0,4399.57
2026-09-13 06:30:00,-5.0,4339.47
2026-09-13 06:35:00,-5.0,4327.95
2026-09-13 06:40:00,-5.0,4396.5
2026-09-13 06:45:00,-5.0,4387.91
2026-09-13 06:50:00,-5.0,4304.04
2026-09-13 06:55:00,-5.35732,4334.25
2026-09-13 07:00:00,-5.0,4360.22
2026-09-13 07:05:00,-5.39332,4355.8
2026-09-13 07:10:00,-7.99987,4298.28
2026-09-13 07:15:00,-8.00992,4232.16
2026-09-13 07:20:00,-8.00992,4310.45
2026-09-13 07:25:00,-7.75355,4439.51
2026-09-13 07:30:00,-8.00992,4263.41
2026-09-13 07:35:00,-8.00992,4346.98
2026-09-13 07:40:00,-7.43161,4418.66
2026-09-13 07:45:00,-15.50259,4369.66
2026-09-13 07:50:00,-7.99987,4332.56
2026-09-13 07:55:00,-7.26089,4374.24
2026-09-13 08:00:00,-6.5,4439.4
2026-09-13 08:05:00,-7.30282,4385.04
2026-09-13 08:10:00,-16.54,4416.57
2026-09-13 08:15:00,-7.96941,4303.76
2026-09-13 08:20:00,-16.54,4353.16
2026-09-13 08:25:00,-16.54,4421.94
2026-09-13 08:30:00,-16.54,4374.93
2026-09-13 08:35:00,-16.54,4285.14
2026-09-13 08:40:00,-9.33,4264.34
2026-09-13 08:45:00,-8.00992,4358.46
2026-09-13 08:50:00,-16.54,4142.03
2026-09-13 08:55:00,-16.54,4061.92
2026-09-13 09:00:00,-16.54,3994.21
2026-09-13 09:05:00,-9.41197,4000.41
2026-09-13 09:10:00,-7.51,4058.31
2026-09-13 09:15:00,-7.51,4148.61
2026-09-13 09:20:00,-8.90903,3774.67
2026-09-13 09:25:00,-6.93,4063.79
2026-09-13 09:30:00,-7.64354,3817.99
2026-09-13 09:35:00,-7.51,3861.24
2026-09-13 09:40:00,-7.59539,3933.92
2026-09-13 09:45:00,-7.51,3909.86
2026-09-13 09:50:00,-7.16305,3855.04
2026-09-13 09:55:00,-7.59331,3793.16
2026-09-13 10:00:00,-7.80905,3716.39
2026-09-13 10:05:00,-7.51,3580.09
2026-09-13 10:10:00,-8.00992,3545.98
2026-09-13 10:15:00,-8.00992,3689.4
2026-09-13 10:20:00,-7.74767,3741.12
2026-09-13 10:25:00,-7.79272,3658.41
2026-09-13 10:30:00,-8.00992,3661.15
2026-09-13 10:35:00,-8.00992,3657.33
2026-09-13 10:40:00,-8.00992,3694.41
2026-09-13 10:45:00,-8.00992,3729.11
2026-09-13 10:50:00,-8.35257,3812.57
2026-09-13 10:55:00,-9.02904,3999.25
2026-09-13 11:00:00,-9.17118,3843.35
2026-09-13 11:05:00,-8.56483,3747.43
2026-09-13 11:10:00,-8.89717,3936.89
2026-09-13 11:15:00,-8.99347,3987.16
2026-09-13 11:20:00,-9.00412,3943.7
2026-09-13 11:25:00,-8.42515,3684.19
2026-09-13 11:30:00,-9.19215,3553.06
2026-09-13 11:35:00,-9.1939,3714.91
2026-09-13 11:40:00,-8.00992,3613.92
2026-09-13 11:45:00,-9.31047,3590.37
2026-09-13 11:50:00,-9.20306,3700.22
2026-09-13 11:55:00,-9.2312,3561.95
2026-09-13 12:00:00,-9.20125,3539.76
2026-09-13 12:05:00,-8.61626,3584.76
2026-09-13 12:10:00,-9.63954,3477.26
2026-09-13 12:15:00,-10.1,3795.75
2026-09-13 12:20:00,-10.38241,3782.71
2026-09-13 12:25:00,-9.86,3604.04
2026-09-13 12:30:00,-8.98257,3563.38
2026-09-13 12:35:00,-8.88984,3604.81
2026-09-13 12:40:00,-8.16027,3553.16
2026-09-13 12:45:00,-8.69045,3340.09
2026-09-13 12:50:00,-8.00992,3610.53
2026-09-13 12:55:00,-9.86,3737.48
2026-09-13 13:00:00,-16.54,3879.42
2026-09-13 13:05:00,-10.1,4122.84
2026-09-13 13:10:00,-9.09417,3991.69
2026-09-13 13:15:00,-8.2004,4048.5
2026-09-13 13:20:00,-10.1,3983.9
2026-09-13 13:25:00,-16.54,3944.99
2026-09-13 13:30:00,-15.02894,3969.27
2026-09-13 13:35:00,-10.1,4180.15
2026-09-13 13:40:00,-7.51,4234.68
2026-09-13 13:45:00,-9.31781,4010.65
2026-09-13 13:50:00,-6.93,4160.58
2026-09-13 13:55:00,-16.12325,4001.17
2026-09-13 14:00:00,-8.00992,3986.18
2026-09-13 14:05:00,-8.00992,4085.88
2026-09-13 14:10:00,-8.00992,4056.88
2026-09-13 14:15:00,-8.00992,4194.7
2026-09-13 14:20:00,-10.26731,4474.78
2026-09-13 14:25:00,-8.00992,4247.91
2026-09-13 14:30:00,-8.00992,4351.88
2026-09-13 14:35:00,-10.1,4585.68
2026-09-13 14:40:00,-7.3744,4384.04
2026-09-13 14:45:00,-6.03,4662.94
2026-09-13 14:50:00,-5.0,4683.95
2026-09-13 14:55:00,-7.72734,4635.94
2026-09-13 15:00:00,-7.80379,4517.63
2026-09-13 15:05:00,-6.93,4590.29
2026-09-13 15:10:00,-8.00992,4529.56
2026-09-13 15:15:00,-8.00992,4639.42
2026-09-13 15:20:00,-8.37434,4494.26
2026-09-13 15:25:00,-8.00992,4341.77
2026-09-13 15:30:00,-8.00992,4272.13
2026-09-13 15:35:00,-8.01,4424.88
2026-09-13 15:40:00,-8.31625,4297.75
2026-09-13 15:45:00,-8.00992,4498.69
2026-09-13 15:50:00,-6.93,4638.65
2026-09-13 15:55:00,-6.93,4495.21
2026-09-13 16:00:00,-6.93,4484.4
2026-09-13 16:05:00,-1.79925,4555.72
2026-09-13 16:10:00,-0.55,4656.98
2026-09-13 16:15:00,0.0001,4693.03
2026-09-13 16:20:00,0.01,4746.05
2026-09-13 16:25:00,0.01,4693.08
2026-09-13 16:30:00,0.01,4791.35
2026-09-13 16:35:00,0.01008,4916.85
2026-09-13 16:40:00,0.01008,4992.54
2026-09-13 16:45:00,0.01008,5029.14
2026-09-13 16:50:00,0.01008,5078.53
2026-09-13 16:55:00,0.01034,5193.57
2026-09-13 17:00:00,0.01054,5202.9
2026-09-13 17:05:00,0.01,5159.78
2026-09-13 17:10:00,0.01,5177.41
2026-09-13 17:15:00,0.01,5278.16
2026-09-13 17:20:00,0.0103,5370.55
2026-09-13 17:25:00,0.0103,5380.34
2026-09-13 17:30:00,8.94,5455.08
2026-09-13 17:35:00,8.94,5498.47
2026-09-13 17:40:00,9.72538,5558.91
2026-09-13 17:45:00,39.32986,5506.72
2026-09-13 17:50:00,1.01,5530.25
2026-09-13 17:55:00,40.40323,5647.8
2026-09-13 18:00:00,38.32,5600.3
2026-09-13 18:05:00,10.65,5732.61
2026-09-13 18:10:00,16.5,5681.22
2026-09-13 18:15:00,10.65,5615.77
2026-09-13 18:20:00,10.65,5683.51
2026-09-13 18:25:00,10.65,5700.38
2026-09-13 18:30:00,10.65,5726.72
2026-09-13 18:35:00,10.64994,5693.83
2026-09-13 18:40:00,8.94,5650.76
2026-09-13 18:45:00,38.32,5734.76
2026-09-13 18:50:00,37.82,5751.39
2026-09-13 18:55:00,12.96,5696.34
2026-09-13 19:00:00,25.21,5693.62
2026-09-13 19:05:00,38.32,5725.47
