fold_id,train_start,train_end,cal_start,cal_end,test_start,test_end,horizon,coverage,target_coverage,q_statistic,n_test
0,2023-01-02,2023-04-02,2023-04-02,2023-04-16,2023-04-16,2023-04-23,60,0.814870259481038,0.9,7.764058420828298,2004
1,2023-02-01,2023-05-02,2023-05-02,2023-05-16,2023-05-16,2023-05-23,60,0.8582834331337326,0.9,54.88116670412399,2004
2,2023-03-03,2023-06-01,2023-06-01,2023-06-15,2023-06-15,2023-06-22,60,0.8183632734530938,0.9,0.0,2004
3,2023-04-02,2023-07-01,2023-07-01,2023-07-15,2023-07-15,2023-07-22,60,0.8942115768463074,0.9,4.041253495707173,2004
4,2023-05-02,2023-07-31,2023-07-31,2023-08-14,2023-08-14,2023-08-21,60,0.8393213572854291,0.9,3.3146370285548246,2004
5,2023-06-01,2023-08-30,2023-08-30,2023-09-13,2023-09-13,2023-09-20,60,0.905688622754491,0.9,15.537859870749104,2004
6,2023-07-01,2023-09-29,2023-09-29,2023-10-13,2023-10-13,2023-10-20,60,0.8478043912175649,0.9,0.9792676208524242,2004
7,2023-07-31,2023-10-29,2023-10-29,2023-11-12,2023-11-12,2023-11-19,60,0.8727544910179641,0.9,18.43707507558099,2004
8,2023-08-30,2023-11-28,2023-11-28,2023-12-12,2023-12-12,2023-12-19,60,0.8493013972055888,0.9,4.974947945724711,2004
9,2023-09-29,2023-12-28,2023-12-28,2024-01-11,2024-01-11,2024-01-18,60,0.9221556886227545,0.9,2.645022038424508,2004
10,2023-10-29,2024-01-27,2024-01-27,2024-02-10,2024-02-10,2024-02-17,60,0.9030303030303031,0.9,7.261442309584461,1980
11,2023-11-28,2024-02-26,2024-02-26,2024-03-11,2024-03-11,2024-03-18,60,0.9226546906187625,0.9,11.499249285219435,2004
12,2023-12-28,2024-03-27,2024-03-27,2024-04-10,2024-04-10,2024-04-17,60,0.6357285429141717,0.9,8.112647633824364,2004
13,2024-01-27,2024-04-26,2024-04-26,2024-05-10,2024-05-10,2024-05-17,60,0.8587824351297405,0.9,67.84176789306305,2004
14,2024-02-26,2024-05-26,2024-05-26,2024-06-09,2024-06-09,2024-06-16,60,0.8093812375249501,0.9,18.137531540469162,2004
15,2024-03-27,2024-06-25,2024-06-25,2024-07-09,2024-07-09,2024-07-16,60,0.9166666666666666,0.9,23.165441236944,2004
16,2024-04-26,2024-07-25,2024-07-25,2024-08-08,2024-08-08,2024-08-15,60,0.9246506986027944,0.9,17.756571064627227,2004
17,2024-05-26,2024-08-24,2024-08-24,2024-09-07,2024-09-07,2024-09-14,60,0.9166666666666666,0.9,16.871239963946426,2004
18,2024-06-25,2024-09-23,2024-09-23,2024-10-07,2024-10-07,2024-10-14,60,0.8298403193612774,0.9,5.047243931281618,2004
19,2024-07-25,2024-10-23,2024-10-23,2024-11-06,2024-11-06,2024-11-13,60,0.9101796407185628,0.9,20.718901258178345,2004
20,2024-08-24,2024-11-22,2024-11-22,2024-12-06,2024-12-06,2024-12-13,60,0.9605788423153693,0.9,36.52667293540677,2004
21,2024-09-23,2024-12-22,2024-12-22,2025-01-05,2025-01-05,2025-01-12,60,0.8857285429141717,0.9,0.28033824539992674,2004
22,2024-10-23,2025-01-21,2025-01-21,2025-02-04,2025-02-04,2025-02-11,60,0.8712574850299402,0.9,5.199307267133456,2004
23,2024-11-22,2025-02-20,2025-02-20,2025-03-06,2025-03-06,2025-03-13,60,0.9630738522954092,0.9,3.6958987636033487,2004
24,2024-12-22,2025-03-22,2025-03-22,2025-04-05,2025-04-05,2025-04-12,60,0.8108782435129741,0.9,2.3684271463380933,2004
25,2025-01-21,2025-04-21,2025-04-21,2025-05-05,2025-05-05,2025-05-12,60,0.842814371257485,0.9,0.7387361534514121,2004
26,2025-02-20,2025-05-21,2025-05-21,2025-06-04,2025-06-04,2025-06-11,60,0.8488023952095808,0.9,7.598310842955081,2004
27,2025-03-22,2025-06-20,2025-06-20,2025-07-04,2025-07-04,2025-07-11,60,0.970558882235529,0.9,49.648584712049036,2004
28,2025-04-21,2025-07-20,2025-07-20,2025-08-03,2025-08-03,2025-08-10,60,0.8887225548902196,0.9,5.453114182932658,2004
29,2025-05-21,2025-08-19,2025-08-19,2025-09-02,2025-09-02,2025-09-09,60,0.9011976047904192,0.9,11.620835885112973,2004
30,2025-06-20,2025-09-18,2025-09-18,2025-10-02,2025-10-02,2025-10-09,60,0.841816367265469,0.9,9.564605501856663,2004
31,2025-07-20,2025-10-18,2025-10-18,2025-11-01,2025-11-01,2025-11-08,60,0.9211576846307385,0.9,13.89964852110505,2004
32,2025-08-19,2025-11-17,2025-11-17,2025-12-01,2025-12-01,2025-12-08,60,0.8977045908183633,0.9,2.843218606664122,2004
33,2025-09-18,2025-12-17,2025-12-17,2025-12-31,2025-12-31,2026-01-07,60,0.9451097804391217,0.9,14.143219728058023,2004
34,2025-10-18,2026-01-16,2026-01-16,2026-01-30,2026-01-30,2026-02-06,60,0.9266467065868264,0.9,0.0,2004
